Variable1,Variable2,Variable3,Variable4,Variable5,VariableTarget
240.00,463.77,34,0.83,91972.11,b2_OK
239.95,861.48,3,1.00,206258.25,b2_OK
239.95,621.05,69,0.34,51339.75,b2_REVISAR
239.91,912.99,28,0.88,192892.90,b2_OK
239.85,251.98,18,0.95,57147.91,b2_OK
239.82,926.34,12,0.98,216674.99,b2_OK
239.78,252.76,31,0.86,51871.95,b2_OK
239.73,533.55,13,0.97,124129.40,b2_OK
239.68,545.46,46,0.69,89997.58,b2_REVISAR
239.48,702.91,111,-0.37,-61704.46,b2_REVISAR
239.47,337.51,124,-0.57,-46208.55,b2_REVISAR
239.42,707.40,12,0.98,165379.93,b2_OK
239.27,532.68,72,0.30,38075.49,b2_REVISAR
239.22,667.82,29,0.87,139056.42,b2_OK
239.21,427.91,99,-0.17,-16961.13,b2_REVISAR
239.02,573.56,103,-0.23,-31479.51,b2_REVISAR
239.01,677.11,16,0.96,155284.22,b2_OK
238.95,414.44,71,0.31,31015.88,b2_REVISAR
238.90,545.38,47,0.68,88054.26,b2_REVISAR
238.85,976.38,98,-0.14,-33722.02,b2_REVISAR
238.76,496.44,51,0.63,74462.73,b2_REVISAR
238.69,290.79,20,0.94,65039.02,b2_OK
238.69,841.84,9,0.99,198172.79,b2_OK
238.67,946.35,61,0.48,107868.93,b2_REVISAR
238.57,549.57,91,-0.02,-2903.60,b2_REVISAR
238.52,898.83,35,0.82,174950.43,b2_REVISAR
238.51,501.86,67,0.39,46578.27,b2_REVISAR
238.49,740.58,49,0.65,115686.10,b2_REVISAR
238.46,682.88,8,0.99,160904.93,b2_OK
238.44,915.97,9,0.99,215236.22,b2_OK
238.41,473.82,10,0.98,111128.60,b2_OK
238.39,610.72,84,0.10,15245.02,b2_REVISAR
238.32,731.14,10,0.98,171533.21,b2_OK
238.27,468.28,117,-0.46,-51193.18,b2_REVISAR
238.20,478.78,28,0.88,99899.05,b2_OK
238.17,564.61,112,-0.38,-51648.41,b2_REVISAR
238.16,254.97,28,0.88,53277.61,b2_OK
238.13,573.27,86,0.05,7301.00,b2_REVISAR
238.00,312.90,28,0.88,65182.22,b2_OK
237.83,677.07,25,0.90,145458.44,b2_OK
237.82,495.62,93,-0.06,-7573.01,b2_REVISAR
237.74,962.49,110,-0.34,-78385.83,b2_REVISAR
237.72,802.20,68,0.36,68670.86,b2_REVISAR
237.66,828.68,8,0.99,194597.33,b2_OK
237.61,545.68,13,0.97,126130.62,b2_OK
237.60,548.40,14,0.97,126372.76,b2_OK
237.60,818.55,109,-0.34,-65810.28,b2_REVISAR
237.53,516.56,61,0.48,59273.08,b2_REVISAR
237.40,859.76,37,0.79,161961.92,b2_REVISAR
237.34,908.44,32,0.84,182066.04,b2_OK
237.32,835.29,28,0.88,173931.26,b2_OK
237.17,286.64,47,0.68,46166.13,b2_REVISAR
237.14,833.86,12,0.98,193226.19,b2_OK
237.13,314.55,6,0.99,74154.32,b2_OK
236.86,352.60,6,0.99,83008.93,b2_OK
236.83,697.94,27,0.88,146092.94,b2_OK
236.79,983.51,25,0.90,210585.33,b2_OK
236.75,689.67,2,1.00,163109.96,b2_OK
236.70,672.40,25,0.90,143543.86,b2_OK
236.67,404.40,110,-0.34,-32789.18,b2_REVISAR
236.66,642.75,11,0.98,148963.71,b2_OK
236.61,345.08,23,0.92,74936.20,b2_OK
236.40,634.11,44,0.71,106367.39,b2_REVISAR
236.37,300.55,31,0.86,60820.26,b2_OK
236.35,529.08,16,0.96,119848.38,b2_OK
236.32,738.64,71,0.31,54701.25,b2_REVISAR
236.30,653.31,22,0.93,142928.51,b2_OK
236.20,267.39,42,0.74,46615.74,b2_REVISAR
236.17,408.03,6,0.99,95730.28,b2_OK
235.86,276.72,10,0.98,64208.96,b2_OK
235.84,803.00,15,0.97,182804.92,b2_OK
235.83,859.09,85,0.08,17064.03,b2_REVISAR
235.71,511.89,96,-0.12,-14503.70,b2_REVISAR
235.71,505.61,39,0.77,92275.82,b2_REVISAR
235.65,355.83,130,-0.65,-54086.78,b2_REVISAR
235.64,288.10,5,1.00,67576.04,b2_OK
235.61,770.95,116,-0.44,-80784.05,b2_REVISAR
235.61,581.64,62,0.47,64012.89,b2_REVISAR
235.54,410.68,112,-0.38,-36801.70,b2_REVISAR
235.41,667.53,5,1.00,156424.92,b2_OK
235.36,490.12,122,-0.54,-62633.23,b2_REVISAR
235.23,831.80,47,0.67,131924.44,b2_REVISAR
235.21,243.30,26,0.89,51080.25,b2_OK
235.18,525.60,13,0.97,120418.18,b2_OK
235.06,842.64,79,0.19,36646.96,b2_REVISAR
234.86,270.35,4,1.00,63269.26,b2_OK
234.83,800.47,31,0.85,159490.51,b2_OK
234.82,879.74,33,0.83,171603.91,b2_OK
234.80,644.02,8,0.99,149445.56,b2_OK
234.76,505.88,30,0.86,102566.56,b2_OK
234.69,549.86,106,-0.28,-36117.96,b2_REVISAR
234.58,806.32,17,0.95,179979.43,b2_OK
234.49,566.33,7,0.99,131779.31,b2_OK
234.45,396.26,9,0.99,91651.07,b2_OK
234.41,814.44,14,0.97,184680.31,b2_OK
234.34,709.64,73,0.28,46612.82,b2_REVISAR
234.06,708.70,72,0.31,51041.50,b2_REVISAR
234.02,694.13,38,0.78,126804.00,b2_REVISAR
233.97,281.59,9,0.99,65060.54,b2_OK
233.94,414.76,21,0.93,90157.88,b2_OK
233.89,942.31,128,-0.62,-135841.58,b2_REVISAR
233.75,532.75,61,0.48,59499.24,b2_REVISAR
233.69,703.71,11,0.98,160911.32,b2_OK
233.61,983.52,17,0.95,219280.08,b2_OK
233.58,456.03,33,0.83,88866.97,b2_OK
233.53,538.23,32,0.84,105926.77,b2_OK
233.28,679.49,118,-0.48,-75714.65,b2_REVISAR
232.99,425.29,17,0.96,94644.03,b2_OK
232.88,626.08,117,-0.46,-66427.17,b2_REVISAR
232.77,329.67,118,-0.48,-36585.19,b2_REVISAR
232.75,456.24,34,0.83,87655.28,b2_OK
232.69,712.10,4,1.00,165272.47,b2_OK
232.68,390.42,25,0.90,82041.39,b2_OK
232.67,563.71,76,0.23,29955.65,b2_REVISAR
232.61,969.78,39,0.77,173765.99,b2_REVISAR
232.55,923.59,7,0.99,212804.53,b2_OK
232.54,300.04,24,0.91,63734.34,b2_OK
232.31,868.40,9,0.99,198766.82,b2_OK
232.30,975.93,35,0.82,185264.28,b2_REVISAR
232.29,612.94,94,-0.07,-10100.98,b2_REVISAR
232.21,930.62,13,0.97,210007.44,b2_OK
232.11,548.40,13,0.97,123596.78,b2_OK
232.09,398.72,32,0.85,78241.38,b2_OK
232.09,628.45,100,-0.18,-25964.39,b2_REVISAR
232.08,431.25,26,0.89,89457.90,b2_OK
231.97,608.01,33,0.83,117484.69,b2_OK
231.73,799.76,73,0.28,51914.59,b2_REVISAR
231.67,574.79,119,-0.48,-64440.30,b2_REVISAR
231.63,480.84,76,0.24,26558.07,b2_REVISAR
231.62,480.14,29,0.87,96404.53,b2_OK
231.60,337.18,47,0.68,52794.36,b2_REVISAR
231.59,700.91,11,0.98,158917.83,b2_OK
231.49,558.58,124,-0.57,-73595.70,b2_REVISAR
231.48,532.73,7,0.99,122271.47,b2_OK
231.37,400.25,27,0.89,82485.87,b2_OK
231.35,455.71,97,-0.13,-13770.14,b2_REVISAR
231.31,258.53,47,0.67,40236.16,b2_REVISAR
231.19,738.31,20,0.94,160095.78,b2_OK
231.14,953.99,28,0.88,194255.00,b2_OK
230.89,432.65,6,0.99,99233.88,b2_OK
230.69,982.22,46,0.69,157282.24,b2_REVISAR
230.61,446.96,132,-0.67,-69476.13,b2_REVISAR
230.52,944.47,16,0.96,208868.65,b2_OK
230.51,492.06,23,0.92,104353.05,b2_OK
230.50,719.26,3,1.00,165524.68,b2_OK
230.43,930.55,12,0.98,209580.01,b2_OK
230.35,945.55,31,0.85,184955.27,b2_OK
230.31,466.57,10,0.98,105748.47,b2_OK
230.27,359.88,18,0.95,78594.33,b2_OK
230.25,754.15,16,0.96,166163.69,b2_OK
230.20,592.20,46,0.69,94434.11,b2_REVISAR
230.16,729.00,2,1.00,167635.66,b2_OK
230.11,361.06,93,-0.06,-4674.24,b2_REVISAR
230.07,356.30,34,0.82,67371.04,b2_OK
230.01,845.03,67,0.38,74617.29,b2_REVISAR
229.97,463.42,114,-0.41,-44208.12,b2_REVISAR
229.95,484.66,6,0.99,110726.41,b2_OK
229.89,355.09,28,0.88,71600.76,b2_OK
229.89,814.63,57,0.54,101144.02,b2_REVISAR
229.81,422.78,128,-0.62,-60541.72,b2_REVISAR
229.78,452.01,116,-0.44,-45762.94,b2_REVISAR
229.77,321.88,19,0.95,69906.56,b2_OK
229.77,300.03,67,0.38,26232.95,b2_REVISAR
229.64,783.06,5,1.00,179006.46,b2_OK
229.64,974.19,127,-0.61,-135713.53,b2_REVISAR
229.56,891.41,104,-0.25,-51050.97,b2_REVISAR
229.41,350.63,14,0.97,77839.12,b2_OK
229.36,381.01,37,0.79,69294.61,b2_REVISAR
229.29,798.54,31,0.85,155319.52,b2_OK
228.97,707.70,24,0.91,147913.95,b2_OK
228.84,393.66,116,-0.44,-39890.10,b2_REVISAR
228.81,913.98,74,0.26,55036.41,b2_REVISAR
228.78,595.82,4,1.00,135905.13,b2_OK
228.77,243.61,19,0.94,52436.26,b2_OK
228.65,827.79,7,0.99,187525.60,b2_OK
228.49,833.04,9,0.99,187774.23,b2_OK
228.42,832.91,30,0.86,163493.79,b2_OK
228.32,486.41,34,0.83,91936.35,b2_OK
228.28,391.71,65,0.41,36563.57,b2_REVISAR
228.15,809.31,9,0.99,182174.76,b2_OK
228.13,808.68,130,-0.64,-118983.44,b2_REVISAR
228.13,457.89,38,0.79,82183.18,b2_REVISAR
228.03,436.61,36,0.81,80147.24,b2_REVISAR
227.84,589.84,122,-0.54,-71986.00,b2_REVISAR
227.76,770.04,14,0.97,169667.81,b2_OK
227.74,363.73,2,1.00,82748.82,b2_OK
227.73,608.10,110,-0.35,-49102.25,b2_REVISAR
227.58,628.23,109,-0.33,-47054.16,b2_REVISAR
227.53,693.92,107,-0.30,-47005.85,b2_REVISAR
227.50,383.97,94,-0.08,-6920.88,b2_REVISAR
227.41,468.42,24,0.91,97153.85,b2_OK
227.40,626.06,43,0.72,102690.87,b2_REVISAR
227.35,745.42,30,0.86,145757.59,b2_OK
227.31,534.12,22,0.92,112215.79,b2_OK
227.18,792.22,2,1.00,179732.01,b2_OK
227.11,911.96,60,0.49,101236.34,b2_REVISAR
227.07,973.84,38,0.78,172414.25,b2_REVISAR
227.02,291.11,32,0.84,55693.90,b2_OK
227.01,332.45,12,0.98,73724.13,b2_OK
227.00,709.81,8,0.99,159359.45,b2_OK
226.93,690.46,9,0.99,154544.49,b2_OK
226.93,672.25,29,0.87,132631.02,b2_OK
226.91,302.98,57,0.53,36568.76,b2_REVISAR
226.74,388.11,12,0.98,85834.97,b2_OK
226.52,351.96,113,-0.39,-31206.48,b2_REVISAR
226.50,693.03,95,-0.09,-13748.34,b2_REVISAR
226.40,311.75,29,0.87,61657.75,b2_OK
226.36,428.46,27,0.89,85981.38,b2_OK
226.21,698.34,93,-0.07,-10297.68,b2_REVISAR
226.16,946.86,20,0.94,200420.45,b2_OK
226.16,794.26,126,-0.59,-105614.30,b2_REVISAR
226.15,590.42,6,0.99,132572.95,b2_OK
226.08,747.22,128,-0.63,-105915.71,b2_REVISAR
225.93,375.83,16,0.96,81369.11,b2_OK
225.87,418.59,61,0.48,45092.01,b2_REVISAR
225.76,633.76,15,0.96,137792.86,b2_OK
225.63,409.51,95,-0.09,-8470.50,b2_REVISAR
225.37,900.81,26,0.89,181484.31,b2_OK
225.30,366.08,25,0.90,74279.37,b2_OK
225.21,694.94,112,-0.38,-59200.95,b2_REVISAR
225.16,653.62,9,0.99,145184.23,b2_OK
225.09,578.93,48,0.66,86171.72,b2_REVISAR
225.07,856.79,106,-0.28,-54409.70,b2_REVISAR
224.97,721.00,14,0.97,157041.51,b2_OK
224.97,406.13,15,0.96,88128.77,b2_OK
224.92,527.52,5,1.00,118073.64,b2_OK
224.79,969.20,110,-0.35,-75931.33,b2_REVISAR
224.79,370.18,111,-0.36,-29865.90,b2_REVISAR
224.75,439.70,72,0.30,29162.22,b2_REVISAR
224.73,300.00,34,0.83,55879.31,b2_OK
224.65,789.91,14,0.97,171875.11,b2_OK
224.54,382.25,133,-0.69,-59066.58,b2_REVISAR
224.54,558.08,87,0.05,5841.71,b2_REVISAR
224.45,880.09,40,0.76,150816.69,b2_REVISAR
224.43,784.02,67,0.38,66939.60,b2_REVISAR
224.41,784.88,19,0.94,166160.14,b2_OK
224.31,527.35,131,-0.66,-77839.35,b2_REVISAR
224.18,270.51,7,0.99,60139.18,b2_OK
224.18,675.98,65,0.42,64040.84,b2_REVISAR
224.15,249.58,30,0.86,48324.74,b2_OK
224.12,990.35,105,-0.27,-58981.48,b2_REVISAR
224.09,438.60,58,0.52,51548.23,b2_REVISAR
224.05,937.29,26,0.89,187492.48,b2_OK
223.92,378.41,51,0.63,53125.51,b2_REVISAR
223.85,748.60,112,-0.39,-64617.05,b2_REVISAR
223.85,878.60,55,0.56,110347.62,b2_REVISAR
223.78,881.33,115,-0.43,-84502.31,b2_REVISAR
223.75,456.11,30,0.87,88296.95,b2_OK
223.74,962.73,128,-0.62,-134623.08,b2_REVISAR
223.64,241.81,101,-0.20,-11064.97,b2_REVISAR
223.62,342.88,125,-0.58,-44775.87,b2_REVISAR
223.60,587.34,32,0.85,111388.43,b2_OK
223.57,385.08,49,0.66,56479.73,b2_REVISAR
223.48,740.68,54,0.58,96203.95,b2_REVISAR
223.44,342.72,98,-0.15,-11661.70,b2_REVISAR
223.36,526.84,69,0.35,41252.64,b2_REVISAR
223.35,532.31,85,0.08,9939.77,b2_REVISAR
223.32,606.06,99,-0.17,-22638.62,b2_REVISAR
223.21,858.93,40,0.76,145496.81,b2_REVISAR
223.20,944.47,83,0.11,23552.18,b2_REVISAR
223.14,725.93,59,0.50,81263.04,b2_REVISAR
223.11,754.79,31,0.86,144217.62,b2_OK
223.08,357.65,121,-0.52,-41392.52,b2_REVISAR
223.00,490.16,117,-0.46,-50397.44,b2_REVISAR
222.99,372.34,25,0.90,74858.51,b2_OK
222.96,951.41,70,0.33,70645.21,b2_REVISAR
222.96,290.87,77,0.22,14575.68,b2_REVISAR
222.96,466.54,99,-0.16,-17110.05,b2_REVISAR
222.90,658.99,59,0.51,74687.12,b2_REVISAR
222.80,731.53,4,1.00,162429.13,b2_OK
222.79,417.44,105,-0.27,-25341.64,b2_REVISAR
222.76,954.07,21,0.93,197474.69,b2_OK
222.71,825.49,13,0.97,178838.72,b2_OK
222.61,939.03,15,0.96,201577.84,b2_OK
222.44,440.35,7,0.99,97054.74,b2_OK
222.39,616.01,123,-0.55,-75651.91,b2_REVISAR
222.30,624.11,8,0.99,137192.04,b2_OK
222.28,561.33,30,0.86,107887.63,b2_OK
222.24,701.04,81,0.14,22198.49,b2_REVISAR
222.23,781.72,79,0.19,33186.51,b2_REVISAR
222.16,721.17,8,0.99,158503.41,b2_OK
222.12,690.68,19,0.94,144831.35,b2_OK
222.07,329.83,5,0.99,72857.33,b2_OK
222.03,304.43,26,0.90,60624.88,b2_OK
221.80,503.07,86,0.06,7012.39,b2_REVISAR
221.77,513.15,44,0.71,81024.16,b2_REVISAR
221.77,453.85,117,-0.46,-46783.31,b2_REVISAR
221.75,761.64,8,0.99,166904.97,b2_OK
221.47,650.42,18,0.95,136509.21,b2_OK
221.33,461.31,130,-0.64,-65787.63,b2_REVISAR
221.32,444.05,44,0.71,70004.06,b2_REVISAR
221.30,396.84,63,0.45,39137.71,b2_REVISAR
221.28,426.72,109,-0.34,-32098.32,b2_REVISAR
221.22,867.39,21,0.93,178940.63,b2_OK
221.10,962.62,21,0.93,197760.62,b2_OK
221.01,648.63,83,0.12,17304.35,b2_REVISAR
221.01,807.49,51,0.62,110591.34,b2_REVISAR
221.00,874.34,25,0.90,174608.96,b2_OK
220.94,546.93,122,-0.54,-65687.92,b2_REVISAR
220.89,300.74,127,-0.60,-39979.81,b2_REVISAR
220.85,922.59,32,0.84,171114.99,b2_OK
220.85,527.24,49,0.64,75085.13,b2_REVISAR
220.84,766.60,63,0.45,76280.85,b2_REVISAR
220.79,563.09,8,0.99,123028.93,b2_OK
220.74,802.62,5,1.00,176438.18,b2_OK
220.72,780.77,6,0.99,171275.55,b2_OK
220.62,867.80,26,0.89,171033.86,b2_OK
220.59,388.35,7,0.99,84946.64,b2_OK
220.54,940.98,24,0.91,188808.68,b2_OK
220.53,495.63,10,0.98,107493.47,b2_OK
220.50,379.55,18,0.95,79267.19,b2_OK
220.49,336.59,98,-0.14,-10429.62,b2_REVISAR
220.43,442.23,37,0.79,77292.82,b2_REVISAR
220.18,618.68,5,1.00,135623.57,b2_OK
220.15,299.09,36,0.81,53184.70,b2_REVISAR
220.04,647.35,3,1.00,142105.03,b2_OK
219.98,708.75,122,-0.54,-83871.16,b2_REVISAR
219.86,569.71,93,-0.06,-7271.04,b2_REVISAR
219.85,868.02,28,0.88,167333.56,b2_OK
219.79,706.10,95,-0.09,-14402.81,b2_REVISAR
219.76,739.91,2,1.00,162448.88,b2_OK
219.73,879.50,33,0.84,161377.21,b2_OK
219.73,963.61,21,0.93,197536.53,b2_OK
219.56,335.03,7,0.99,72957.68,b2_OK
219.50,716.03,56,0.55,86731.33,b2_REVISAR
219.46,311.82,37,0.80,54585.61,b2_REVISAR
219.31,791.64,108,-0.31,-54361.87,b2_REVISAR
219.24,872.51,41,0.75,143671.95,b2_REVISAR
219.23,643.84,5,1.00,140606.99,b2_OK
219.11,858.55,72,0.31,57882.16,b2_REVISAR
219.10,966.50,119,-0.49,-103187.00,b2_REVISAR
219.07,505.85,103,-0.23,-26030.34,b2_REVISAR
218.97,274.93,120,-0.51,-30892.21,b2_REVISAR
218.95,710.68,35,0.82,126994.43,b2_REVISAR
218.87,724.94,15,0.97,153150.08,b2_OK
218.84,988.51,113,-0.39,-85083.94,b2_REVISAR
218.80,540.44,69,0.34,40698.65,b2_REVISAR
218.62,898.37,10,0.98,193197.04,b2_OK
218.62,660.10,90,-0.01,-1143.87,b2_REVISAR
218.58,502.84,38,0.79,86388.88,b2_REVISAR
218.55,730.44,7,0.99,158228.22,b2_OK
218.48,368.33,12,0.97,78428.97,b2_OK
218.46,456.99,86,0.05,5312.53,b2_REVISAR
218.38,964.20,85,0.08,17157.00,b2_REVISAR
